area,weekday,past_success_rate,preferred_slot
1,0,89,Morning
1,1,87,Morning
1,2,78,Afternoon
1,3,93,Morning
1,4,77,Afternoon
1,5,87,Morning
1,6,95,Morning
2,0,72,Afternoon
2,1,68,Afternoon
2,2,56,Evening
2,3,70,Afternoon
2,4,69,Afternoon
2,5,77,Afternoon
2,6,56,Evening
3,0,74,Afternoon
3,1,73,Afternoon
3,2,79,Afternoon
3,3,60,Afternoon
3,4,74,Afternoon
3,5,68,Afternoon
3,6,65,Afternoon
4,0,65,Afternoon
4,1,43,Evening
4,2,71,Afternoon
4,3,42,Evening
4,4,73,Afternoon
4,5,49,Evening
4,6,72,Afternoon
